movimento democrático brasileiro
mdb
partido dos trabalhadores
pt
partido da social democracia brasileira
psdb
progressistas
pp
partido democrático trabalhista
pdt
partido trabalhista brasileiro
ptb
democratas
dem
partido socialista brasileiro
psb
republicanos
cidadania
partido social cristão
psc
partido comunista do brasil
pcdob
pc do b
podemos
pode
partido social democrático
psd
partido verde
pv
patriota
solidariedade
partido socialismo e liberdade
psol
avante
partido da mobilização nacional
pmn
partido trabalhista cristão
ptc
democracia cristã
dc
partido renovador trabalhista brasileiro
prtb
partido republicano na ordem social
pros
partido social liberal
psl
partido da mulher brasileira
pmb
rede sustentabilidade
rede
partido novo
novo
partido socialista dos trabalhadores unificado
pstu
partido comunista brasileiro
pcb
partido da causa operária
pco
unidade popular
up
partido liberal
pl
